id,reviewerID,reviewText,overall,summary
0,A3SBTW3WS4IQSN,No issues.,4,Four Stars
1,A18K1ODH1I2MVB,"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",5,MOAR SPACE!!!
2,A2FII3I2MBMUIA,it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,4,nothing to really say....
3,A3H99DFEG68SR,"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",5,Great buy at this price!!!  *** UPDATE
4,A375ZM4U047O79,"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",5,best deal around
5,A2IDCSC6NVONIZ,It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,5,Not a lot to really be said
6,A26YHXZD5UFPVQ,I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,5,Works well
7,A3CW0ZLUO5X2B1,It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,5,32 GB for less than two sawbucks...what's not to like?
8,A2CYJO155QP33S,"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5,Loads of room
9,A2S7XG3ZC4VGOQ,"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",5,works great
10,A1RTQROTWR5NCB,"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",5,32GB MicroSD Card.
11,A2Q3ICGWZLY3JJ,"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",3,"It works, but not as fast as expected"
12,AN2VFTXYW1SZU,THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,5,A RENOUND NAME BRAND
13,AVHN134ADVP4R,"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",5,Great SDHC card
